Age,Sex,Category,2018,2019,2020,2021,2022,2023
55-64,Women,Kunstmuseum,21.0,16,10,15,20,19.0
55-64,Women,Naturhistorisk museum,2.0,3,2,3,3,4.0
55-64,Women,Blandet,16.0,18,0,0,0,0.0
55-64,Women,Museumslignende institution,9.0,0,0,0,0,0.0
55-64,Women,No,57.0,63,82,72,70,69.0
55-64,Women,Yes,42.0,35,16,26,29,30.0
65-74,Men,Kulturhistorisk museum,14.0,14,11,12,16,17.0
65-74,Men,Kunstmuseum,15.0,12,9,11,13,15.0
65-74,Men,Naturhistorisk museum,2.0,3,1,2,3,4.0
65-74,Men,Blandet,14.0,15,0,0,0,0.0
65-74,Men,Museumslignende institution,11.0,0,0,0,0,0.0
65-74,Men,No,62.0,66,81,78,73,71.0
65-74,Men,Yes,38.0,32,17,20,25,27.0
65-74,Women,Kulturhistorisk museum,16.0,17,7,15,17,17.0
65-74,Women,Kunstmuseum,22.0,17,11,20,21,21.0
65-74,Women,Naturhistorisk museum,2.0,3,2,3,4,4.0
65-74,Women,Blandet,14.0,15,0,0,0,0.0
65-74,Women,Museumslignende institution,12.0,0,0,0,0,0.0
65-74,Women,No,54.0,62,83,69,66,65.0
65-74,Women,Yes,45.0,36,15,30,32,33.0
+75,Men,Kulturhistorisk museum,11.0,11,7,10,11,12.0
+75,Men,Kunstmuseum,13.0,11,8,12,16,15.0
+75,Men,Naturhistorisk museum,2.0,1,1,2,3,3.0
+75,Men,Blandet,8.0,11,0,0,0,0.0
+75,Men,Museumslignende institution,8.0,0,0,0,0,0.0
+75,Men,No,69.0,73,84,78,73,73.0
+75,Men,Yes,30.0,25,13,20,24,24.0
+75,Women,Kulturhistorisk museum,13.0,9,6,7,9,12.0
+75,Women,Kunstmuseum,19.0,14,9,13,23,21.0
+75,Women,Naturhistorisk museum,1.0,2,1,2,2,3.0
+75,Women,Blandet,9.0,8,0,0,0,0.0
+75,Women,Museumslignende institution,7.0,0,0,0,0,0.0
+75,Women,No,64.0,74,86,79,69,67.0
+75,Women,Yes,35.0,23,13,19,28,30.0
